Verb_Noun_Pair,Category,Tier,Domain
deliver feature,Builder,3,Product & Tech
deliver impact,Builder,2,Product & Tech
deliver improvement,Builder,2,Product & Tech
deliver product,Builder,2,Product & Tech
deliver program,Builder,2,Strategy & Vision
deliver result,Builder,2,Product & Tech
deliver roadmap,Builder,2,Product & Tech
deliver saas,Builder,1,Product & Tech
deliver value,Builder,2,Product & Tech
design experiment,Builder,2,Product & Tech
determine top,Builder,2,Strategy & Vision
develop contributor,Builder,2,Product & Tech
develop solution,Builder,2,Product & Tech
develop system,Builder,2,Product & Tech
develop talent,Builder,2,People & Culture
develop target,Builder,3,Strategy & Vision
develop technology,Builder,2,Strategy & Vision
develop understanding,Builder,1,Product & Tech
distribute system,Builder,3,Product & Tech
do good,Builder,3,Product & Tech
do this,Builder,2,Product & Tech
do what,Builder,3,People & Culture
do work,Builder,3,People & Culture
doubt strength,Builder,3,People & Culture
drive accountability,Builder,3,People & Culture
drive clarity,Builder,1,Strategy & Vision
drive culture,Builder,2,People & Culture
drive decision,Builder,2,People & Culture
drive feature,Builder,2,Product & Tech
drive improvement,Builder,2,Product & Tech
drive innovation,Builder,1,Product & Tech
drive outcome,Builder,2,Product & Tech
drive program,Builder,2,People & Culture
drive solution,Builder,2,Product & Tech
drive success,Builder,2,Strategy & Vision
drive value,Builder,2,Product & Tech
drive vision,Builder,1,Strategy & Vision
embrace uniqueness,Builder,2,Strategy & Vision
empower people,Builder,2,People & Culture
empower team,Builder,2,People & Culture
enable culture,Builder,2,People & Culture
enable organization,Builder,2,Strategy & Vision
enable team,Builder,2,People & Culture
enhance Define,Builder,2,Strategy & Vision
establish direction,Builder,3,People & Culture
establish goal,Builder,3,People & Culture
establish metric,Builder,1,Product & Tech
establish understanding,Builder,3,People & Culture
establish vision,Builder,3,Strategy & Vision
evaluate opportunity,Builder,2,Strategy & Vision
execute initiative,Builder,2,Strategy & Vision
exercise judgment,Builder,3,People & Culture
expand team,Builder,2,People & Culture
find answer,Builder,3,Product & Tech
find sharing,Builder,1,People & Culture
foster environment,Builder,2,People & Culture
gather input,Builder,2,Product & Tech
harness power,Builder,2,People & Culture
have access,Builder,2,Product & Tech
have experience,Builder,2,Product & Tech
have impact,Builder,3,Strategy & Vision
have implication,Builder,2,Product & Tech
have much,Builder,2,Product & Tech
have passion,Builder,3,People & Culture
have potential,Builder,3,People & Culture
have presence,Builder,1,People & Culture
have process,Builder,2,People & Culture
have question,Builder,2,People & Culture
have relationship,Builder,3,Strategy & Vision
have spirit,Builder,2,People & Culture
have time,Builder,2,People & Culture
have year,Builder,2,People & Culture
hire candidate,Builder,3,People & Culture
hire good,Builder,2,People & Culture
hold bar,Builder,2,Strategy & Vision
host discussion,Builder,2,People & Culture
identify case,Builder,2,Product & Tech
implement technology,Builder,2,Strategy & Vision
improve making,Builder,1,Product & Tech
improve quality,Builder,2,Product & Tech
increase efficiency,Builder,2,People & Culture
influence direction,Builder,1,People & Culture
influence strategy,Builder,1,Strategy & Vision
inform direction,Builder,2,People & Culture
inform making,Builder,3,Product & Tech
inform prioritization,Builder,2,People & Culture
inform success,Builder,2,People & Culture
inspire team,Builder,2,People & Culture
integrate capability,Builder,2,People & Culture
integrate solution,Builder,3,Product & Tech
integrate tool,Builder,2,Strategy & Vision
launch product,Builder,2,Product & Tech
lead design,Builder,2,Product & Tech
lead execution,Builder,2,Product & Tech
lead launch,Builder,2,Product & Tech
lead program,Builder,2,People & Culture
lead roadmap,Builder,3,People & Culture
lead strategy,Builder,2,People & Culture
leverage capability,Builder,2,People & Culture
leverage experience,Builder,1,People & Culture
manage operation,Builder,3,Product & Tech
manage product,Builder,2,Product & Tech
manage production,Builder,3,Product & Tech
manage stress,Builder,3,People & Culture
match description,Builder,1,Product & Tech
measure success,Builder,2,People & Culture
monitor performance,Builder,2,People & Culture
navigate environment,Builder,2,Strategy & Vision
onboard flow,Builder,2,People & Culture
operate program,Builder,3,People & Culture
optimize performance,Builder,2,Product & Tech
optimize process,Builder,2,Product & Tech
oversee application,Builder,2,Product & Tech
own impact,Builder,2,People & Culture
own lifecycle,Builder,2,Product & Tech
own product,Builder,2,Product & Tech
pioneer computing,Builder,3,Strategy & Vision
power business,Builder,3,Product & Tech
power model,Builder,2,Product & Tech
prioritize feature,Builder,2,Product & Tech
prioritize project,Builder,1,People & Culture
prioritize security,Builder,3,People & Culture
promote inclusion,Builder,2,People & Culture
promote opportunity,Builder,2,Product & Tech
promote product,Builder,2,Product & Tech
provide beacon,Builder,3,Product & Tech
provide datum,Builder,2,Product & Tech
provide experience,Builder,2,Product & Tech
provide guidance,Builder,2,People & Culture
provide leadership,Builder,3,People & Culture
provide opportunity,Builder,2,People & Culture
provide place,Builder,3,People & Culture
pursue work,Builder,2,Product & Tech
raise bar,Builder,2,People & Culture
reduce friction,Builder,2,Product & Tech
reflect cost,Builder,3,Product & Tech
reflect rate,Builder,3,Product & Tech
reflect target,Builder,2,People & Culture
represent role,Builder,1,Product & Tech
represent status,Builder,2,Strategy & Vision
run experiment,Builder,2,Product & Tech
run function,Builder,3,Product & Tech
save time,Builder,2,Product & Tech
scale operation,Builder,2,Strategy & Vision
scale platform,Builder,2,Product & Tech
scale product,Builder,2,Product & Tech
scale team,Builder,2,People & Culture
see fit,Builder,2,People & Culture
see Statement,Builder,1,Strategy & Vision
see what,Builder,3,People & Culture
send request,Builder,3,People & Culture
serve base,Builder,1,Product & Tech
set bar,Builder,2,People & Culture
set direction,Builder,1,Strategy & Vision
set foundation,Builder,1,Product & Tech
set goal,Builder,2,People & Culture
set metric,Builder,2,Product & Tech
set standard,Builder,2,People & Culture
set strategy,Builder,1,Strategy & Vision
set vision,Builder,1,Strategy & Vision
shape experience,Builder,2,Product & Tech
shape leadership,Builder,2,People & Culture
shape strategy,Builder,1,Strategy & Vision
share information,Builder,3,People & Culture
ship feature,Builder,2,Product & Tech
ship product,Builder,2,Product & Tech
show success,Builder,2,People & Culture
simplify experience,Builder,2,Product & Tech
span journey,Builder,1,Product & Tech
speed thing,Builder,2,Product & Tech
synthesize datum,Builder,2,Product & Tech
tackle challenge,Builder,2,Product & Tech
tackle problem,Builder,2,Product & Tech
test approach,Builder,2,Product & Tech
track progress,Builder,2,Product & Tech
transfer skill,Builder,2,People & Culture
translate capability,Builder,2,Strategy & Vision
translate goal,Builder,1,Strategy & Vision
translate need,Builder,3,Product & Tech
translate problem,Builder,1,People & Culture
trust relationship,Builder,2,People & Culture
trust suite,Builder,2,Product & Tech
turn signal,Builder,2,Strategy & Vision
urge you,Builder,2,People & Culture
value Balance,Builder,2,People & Culture
value harmony,Builder,2,People & Culture
value impact,Builder,2,Strategy & Vision
value perspective,Builder,2,People & Culture
value skill,Builder,2,Strategy & Vision
