Verb_Noun_Pair,Category,Tier,Domain
leverage understanding,Bridge,2,Partnership & Deal
manage business,Bridge,2,Market & Growth
manage manager,Bridge,2,Market & Growth
manage relationship,Bridge,2,Market & Growth
manage risk,Bridge,2,Market & Growth
manage year,Bridge,1,Market & Growth
measure success,Bridge,2,Narrative & Brand
meet team,Bridge,2,Narrative & Brand
mitigate blocker,Bridge,2,Market & Growth
modernize function,Bridge,1,Market & Growth
move world,Bridge,1,Narrative & Brand
negotiate agreement,Bridge,2,Partnership & Deal
negotiate deal,Bridge,1,Partnership & Deal
nurture relationship,Bridge,2,Partnership & Deal
optimize innovation,Bridge,2,Market & Growth
position ourselves,Bridge,2,Market & Growth
power mission,Bridge,1,Narrative & Brand
power world,Bridge,1,Narrative & Brand
prepare customer,Bridge,1,Narrative & Brand
prioritize initiative,Bridge,2,Market & Growth
prove standard,Bridge,2,Narrative & Brand
provide analysis,Bridge,2,Market & Growth
provide experience,Bridge,2,Market & Growth
provide guidance,Bridge,2,Market & Growth
provide leadership,Bridge,1,Market & Growth
provide platform,Bridge,1,Market & Growth
provide value,Bridge,2,Market & Growth
push business,Bridge,2,Market & Growth
raise bar,Bridge,1,Narrative & Brand
reach consumer,Bridge,1,Narrative & Brand
reach potential,Bridge,2,Market & Growth
realize goal,Bridge,2,Market & Growth
recognize need,Bridge,1,Narrative & Brand
reflect commitment,Bridge,1,Narrative & Brand
reflect salary,Bridge,2,Market & Growth
reimagine way,Bridge,1,Market & Growth
represent range,Bridge,3,Narrative & Brand
represent voice,Bridge,2,Narrative & Brand
roll sleeve,Bridge,2,Market & Growth
scale alliance,Bridge,2,Market & Growth
scale model,Bridge,2,Market & Growth
scale practice,Bridge,2,Market & Growth
scale program,Bridge,2,Market & Growth
scale team,Bridge,2,Market & Growth
sell engagement,Bridge,2,Partnership & Deal
serve organization,Bridge,3,Market & Growth
set foundation,Bridge,2,Market & Growth
set strategy,Bridge,1,Market & Growth
set vision,Bridge,2,Market & Growth
shape strategy,Bridge,2,Narrative & Brand
share idea,Bridge,1,Narrative & Brand
share location,Bridge,2,Narrative & Brand
share more,Bridge,1,Narrative & Brand
share practice,Bridge,2,Narrative & Brand
solve issue,Bridge,2,Narrative & Brand
streamline workflow,Bridge,1,Market & Growth
structure opportunity,Bridge,1,Market & Growth
supply insight,Bridge,1,Market & Growth
transform business,Bridge,1,Market & Growth
transform idea,Bridge,2,Market & Growth
translate capability,Bridge,1,Market & Growth
translate concept,Bridge,2,Narrative & Brand
translate design,Bridge,2,Market & Growth
translate idea,Bridge,1,Market & Growth
translate insight,Bridge,1,Market & Growth
translate problem,Bridge,1,Market & Growth
translate topic,Bridge,1,Market & Growth
treat candidate,Bridge,2,Narrative & Brand
turn innovation,Bridge,1,Market & Growth
turn insight,Bridge,2,Market & Growth
unite team,Bridge,2,Narrative & Brand
