Verb_Noun_Pair,Category,Tier,Domain
manage expectation,Operator,2,Alignment & Stakeholders
manage process,Operator,3,Systems & Process
manage program,Operator,2,Alignment & Stakeholders
manage project,Operator,3,Systems & Process
manage risk,Operator,2,Risk & Execution
manage schedule,Operator,3,Risk & Execution
measure effectiveness,Operator,2,Alignment & Stakeholders
mentor other,Operator,2,Systems & Process
mitigate risk,Operator,2,Risk & Execution
monitor metric,Operator,3,Risk & Execution
motivate team,Operator,2,Risk & Execution
move world,Operator,1,Systems & Process
optimize process,Operator,2,Systems & Process
oversee operation,Operator,2,Systems & Process
own design,Operator,2,Systems & Process
own they,Operator,2,Systems & Process
plan requirement,Operator,3,Risk & Execution
position team,Operator,2,Alignment & Stakeholders
prioritise insight,Operator,2,Risk & Execution
promote growth,Operator,2,Risk & Execution
promote health,Operator,2,Systems & Process
provide capacity,Operator,3,Systems & Process
provide management,Operator,2,Risk & Execution
provide support,Operator,3,Risk & Execution
reach people,Operator,2,Systems & Process
realize goal,Operator,2,Systems & Process
recommend solution,Operator,2,Alignment & Stakeholders
reduce friction,Operator,2,Systems & Process
reflect cost,Operator,2,Risk & Execution
reimagine way,Operator,1,Systems & Process
remove barrier,Operator,2,Risk & Execution
represent range,Operator,2,Systems & Process
resolve ambiguity,Operator,1,Risk & Execution
resolve dependency,Operator,3,Systems & Process
run program,Operator,2,Risk & Execution
scale organization,Operator,2,Alignment & Stakeholders
scale product,Operator,2,Systems & Process
set direction,Operator,1,Systems & Process
shape roadmap,Operator,1,Systems & Process
share insight,Operator,2,Risk & Execution
share practice,Operator,2,Risk & Execution
share story,Operator,2,Risk & Execution
streamline workflow,Operator,2,Systems & Process
track progress,Operator,3,Risk & Execution
translate datum,Operator,2,Systems & Process
translate design,Operator,2,Systems & Process
translate requirement,Operator,2,Alignment & Stakeholders
triage request,Operator,3,Systems & Process
